Submission ID,HuBMAP ID
VAN0005-RK-1-1,HBM463.JRTB.582
VAN0005-RK-4-172,HBM958.GHFM.676
VAN0006-LK-2-85,HBM725.PDDC.788
VAN0007-LK-203-103,HBM362.PTQJ.743
VAN0008-RK-403-100,HBM783.GDKK.879
VAN0009-LK-102-7,HBM389.MBWW.346
VAN0010-LK-155-40,HBM662.PMPZ.644
VAN0012-RK-103-75,HBM874.RZDW.757
VAN0013-LK-202-96,HBM849.XMPC.398
VAN0014-LK-203-108,HBM979.HDZH.896
VAN0016-LK-202-89,HBM264.XSVF.528
VAN0003-LK-33-2,HBM875.QHDJ.259
VAN0005-RK-8-2,HBM636.ZPTS.368
VAN0006-LK-7-2,HBM636.GVWP.354
VAN0009-LK-106-2,HBM879.CDHB.995
VAN0010-LK-160-2,HBM833.DBGG.252
VAN0011-RK-8-2,HBM783.GJWP.694
VAN0013-LK-206-2,HBM623.RPMC.638
VAN0014-LK-207-2,HBM276.PGFS.693
VAN0016-LK-208-2,HBM676.SNVK.793
VAN0006-LK-4,HBM536.CCHF.977
VAN0010-LK-152,HBM379.WHSK.294
VAN0029-RK-2,HBM968.NFDC.888
VAN0031-LK-2,HBM536.BQGV.594
VAN0032-RK-4,HBM657.MNWD.445
VAN0032-RK-5,HBM656.KGMN.542
VAN0034-RK-4,HBM556.TZZN.242
VAN0034-RK-5,HBM628.JGMX.559
VAN0034-RK-6,HBM638.WKWF.434
VAN0034-RK-7,HBM353.HDWB.922
STAN0007-LI-1,HBM896.ZPRW.239
STAN0007-LI-2,HBM544.CZWL.784
STAN0007-LI-3,HBM777.LKTF.999
STAN0007-LI-4,HBM294.KLBX.557
STAN0008-LI-2,HBM695.THKG.748
STAN0008-LI-3,HBM662.ZXJN.782
STAN0008-LI-4,HBM342.BQPD.849